Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10
336,It Happened One Night,1934,Passed,105,"Comedy, Romance",87.0,4.36,8.1
337,All Quiet on the Western Front,1930,Passed,152,"Drama, War",91.0,3.27,8.1
338,The Circus,1928,Passed,72,"Comedy, Family, Romance",90.0,,8.1
339,Sunrise,1927,Passed,94,"Drama, Romance",95.0,0.54,8.1
340,"Quo Vadis, Aida?",2020,,101,"Drama, History, War",97.0,,8.0
341,Wolfwalkers,2020,PG,103,"Animation, Adventure, Family",87.0,,8.0
342,The Invisible Guest,2016,TV-MA,106,"Crime, Drama, Mystery",,,8.0
343,La La Land,2016,PG-13,128,"Comedy, Drama, Music",94.0,151.10,8.0
344,Lion,2016,PG-13,118,"Biography, Drama",69.0,51.74,8.0
345,The Martian,2015,PG-13,144,"Adventure, Drama, Sci-Fi",80.0,228.43,8.0
346,Mommy,I 2014,R,139,Drama,74.0,3.49,8.0
347,Haider,2014,Not Rated,160,"Action, Crime, Drama",,0.90,8.0
348,Soul,2020,PG,100,"Animation, Adventure, Comedy",83.0,,8.0
349,Zootopia,2016,PG,108,"Animation, Adventure, Comedy",78.0,341.27,8.0
350,Baahubali: The Beginning,2015,Not Rated,159,"Action, Drama",,6.74,8.0
351,The Tale of The Princess Kaguya,2013,PG,137,"Animation, Drama, Family",89.0,1.51,8.0
352,Special 26,2013,Not Rated,144,"Crime, Drama, Thriller",,1.08,8.0
353,The Imitation Game,2014,PG-13,114,"Biography, Drama, Thriller",71.0,91.13,8.0
354,Guardians of the Galaxy,2014,PG-13,121,"Action, Adventure, Comedy",76.0,333.18,8.0
355,Song of the Sea,2014,PG,93,"Animation, Adventure, Drama",85.0,0.86,8.0
356,Blade Runner 2049,2017,R,164,"Action, Drama, Mystery",81.0,92.05,8.0
357,Her,2013,R,126,"Drama, Romance, Sci-Fi",91.0,25.57,8.0
358,The Revenant,2015,R,156,"Action, Adventure, Drama",76.0,183.64,8.0
359,Elite Squad 2: The Enemy Within,2010,Not Rated,115,"Action, Crime, Drama",71.0,0.10,8.0
360,The King's Speech,2010,R,118,"Biography, Drama, History",88.0,138.80,8.0
361,Deadpool,2016,R,108,"Action, Adventure, Comedy",65.0,363.07,8.0
362,Zack Snyder's Justice League,2021,R,242,"Action, Adventure, Fantasy",54.0,,8.0
363,Ip Man,2008,R,106,"Action, Biography, Drama",59.0,,8.0
364,The Breath,2009,,128,"Action, Drama, Thriller",,,8.0
365,Dune,2021,PG-13,155,"Action, Adventure, Drama",74.0,108.33,8.0
366,Departures,2008,PG-13,130,Drama,68.0,1.50,8.0
367,CODA,2021,PG-13,111,"Comedy, Drama, Music",72.0,,8.0
368,Slumdog Millionaire,2008,R,120,"Crime, Drama, Romance",84.0,141.32,8.0
369,Black Swan,2010,R,108,"Drama, Thriller",79.0,106.95,8.0
370,Elite Squad,2007,R,115,"Action, Crime, Drama",33.0,0.01,8.0
371,The Avengers,2012,PG-13,143,"Action, Adventure, Sci-Fi",69.0,623.28,8.0
372,Persepolis,2007,PG-13,96,"Animation, Biography, Drama",90.0,4.45,8.0
373,"Carry On, Munna Bhai",2006,Not Rated,144,"Comedy, Drama, Romance",,2.22,8.0
374,The Pursuit of Happyness,2006,PG-13,117,"Biography, Drama",64.0,163.57,8.0
375,Blood Diamond,2006,R,143,"Adventure, Drama, Thriller",64.0,57.37,8.0
376,The Bourne Ultimatum,2007,PG-13,115,"Action, Mystery, Thriller",85.0,227.47,8.0
377,Nobody Knows,2004,PG-13,141,Drama,88.0,0.68,8.0
378,Sin City,2005,R,124,"Crime, Thriller",74.0,74.10,8.0
379,The Diving Bell and the Butterfly,2007,PG-13,112,"Biography, Drama",92.0,5.99,8.0
380,Tae Guk Gi: The Brotherhood of War,2004,R,140,"Action, Drama, War",64.0,1.11,8.0
381,G.O.R.A.,2004,18,127,"Adventure, Comedy, Sci-Fi",,,8.0
382,Casino Royale,2006,PG-13,144,"Action, Adventure, Thriller",80.0,167.45,8.0
383,Kill Bill: Vol. 2,2004,R,137,"Action, Crime, Thriller",83.0,66.21,8.0
384,"Spring, Summer, Fall, Winter... and Spring",2003,R,103,"Drama, Romance",85.0,2.38,8.0
385,The Sea Inside,I 2004,PG-13,126,"Biography, Drama",74.0,2.09,8.0
386,Cinderella Man,2005,PG-13,144,"Biography, Drama, Romance",69.0,61.65,8.0
387,Infernal Affairs,2002,R,101,"Action, Crime, Drama",75.0,0.17,8.0
388,Big Fish,2003,PG-13,125,"Adventure, Drama, Fantasy",58.0,66.26,8.0
389,The Incredibles,2004,PG,115,"Animation, Action, Adventure",90.0,261.44,8.0
390,My Sassy Girl,2001,Not Rated,137,"Comedy, Drama, Romance",,,8.0
391,Dogville,2003,R,178,"Crime, Drama",60.0,1.53,8.0
392,Vizontele,2001,,110,"Comedy, Drama",,,8.0
393,Donnie Darko,2001,R,113,"Drama, Mystery, Sci-Fi",88.0,1.48,8.0
394,Magnolia,1999,R,188,Drama,77.0,22.46,8.0
395,Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,87,"Animation, Action, Drama",,,8.0
396,The Straight Story,1999,G,112,"Biography, Drama",86.0,6.20,8.0
397,Perfect Blue,1997,R,81,"Animation, Crime, Drama",67.0,0.78,8.0
398,Central Station,1998,R,110,Drama,80.0,5.60,8.0
399,The Legend of 1900,1998,R,169,"Drama, Music, Romance",58.0,0.26,8.0
400,"Black Cat, White Cat",1998,R,127,"Comedy, Crime, Romance",73.0,0.35,8.0
401,Sling Blade,1996,R,135,Drama,84.0,24.48,8.0
402,Secrets & Lies,1996,R,136,"Comedy, Drama",91.0,13.42,8.0
403,12 Monkeys,1995,R,129,"Mystery, Sci-Fi, Thriller",74.0,57.14,8.0
404,Dilwale Dulhania Le Jayenge,1995,Not Rated,181,"Drama, Romance",,,8.0
405,Chungking Express,1994,PG-13,102,"Comedy, Crime, Drama",78.0,0.60,8.0
406,Andaz Apna Apna,1994,Not Rated,160,"Action, Comedy, Romance",,,8.0
407,Scent of a Woman,1992,R,156,Drama,59.0,63.90,8.0
408,Aladdin,1992,G,90,"Animation, Adventure, Comedy",86.0,217.35,8.0
409,JFK,1991,R,189,"Drama, History, Thriller",72.0,70.41,8.0
410,Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy",95.0,218.97,8.0
411,Dances with Wolves,1990,PG-13,181,"Adventure, Drama, Western",72.0,184.21,8.0
412,Rain Man,1988,R,133,Drama,65.0,178.80,8.0
413,Akira,1988,R,124,"Animation, Action, Drama",67.0,0.55,8.0
414,The Princess Bride,1987,PG,98,"Adventure, Family, Fantasy",77.0,30.86,8.0
415,Wings of Desire,1987,PG-13,128,"Drama, Fantasy, Romance",79.0,3.33,8.0
416,"Goodbye, Children",1987,PG,104,"Drama, War",88.0,4.54,8.0
417,Castle in the Sky,1986,PG,125,"Animation, Adventure, Family",78.0,,8.0
418,Nausicaä of the Valley of the Wind,1984,PG,117,"Animation, Adventure, Sci-Fi",86.0,0.50,8.0
419,Nostalghia,1983,Not Rated,125,Drama,,0.01,8.0
420,Pink Floyd: The Wall,1982,R,95,"Drama, Fantasy, Music",47.0,22.24,8.0
421,Gandhi,1982,PG,191,"Biography, Drama, History",79.0,52.77,8.0
422,Fitzcarraldo,1982,PG,158,"Adventure, Drama",,,8.0
423,Life of Brian,1979,R,94,Comedy,77.0,20.05,8.0
424,Being There,1979,PG,130,"Comedy, Drama",83.0,30.18,8.0
425,Annie Hall,1977,PG,93,"Comedy, Romance",92.0,39.20,8.0
426,Dog Day Afternoon,1975,R,125,"Biography, Crime, Drama",86.0,50.00,8.0
427,Mirror,1975,Not Rated,107,"Biography, Drama",80.0,0.18,8.0
428,Young Frankenstein,1974,PG,106,Comedy,80.0,86.30,8.0
429,Papillon,1973,R,151,"Biography, Crime, Drama",58.0,53.27,8.0
430,Cries & Whispers,1972,R,91,Drama,,1.74,8.0
431,Solaris,1972,PG,167,"Drama, Mystery, Sci-Fi",93.0,,8.0
432,Sleuth,1972,PG,138,"Mystery, Thriller",,4.08,8.0
433,The Last Picture Show,1971,R,118,"Drama, Romance",93.0,29.13,8.0
434,Fiddler on the Roof,1971,G,181,"Drama, Family, Musical",67.0,80.50,8.0
435,Butch Cassidy and the Sundance Kid,1969,PG,110,"Biography, Crime, Drama",66.0,102.31,8.0
436,Rosemary's Baby,1968,Approved,137,"Drama, Horror",96.0,,8.0
437,Planet of the Apes,1968,G,112,"Adventure, Sci-Fi",79.0,33.40,8.0
438,Le Samouraï,1967,GP,101,"Crime, Drama",,0.04,8.0
439,The Graduate,1967,PG,106,"Comedy, Drama, Romance",83.0,104.95,8.0
440,Who's Afraid of Virginia Woolf?,1966,Not Rated,131,Drama,75.0,,8.0
441,The Leopard,1963,PG,186,"Drama, History",100.0,,8.0
442,8½,1963,Not Rated,138,Drama,92.0,0.05,8.0
443,The Exterminating Angel,1962,Not Rated,95,"Drama, Fantasy",,,8.0
444,What Ever Happened to Baby Jane?,1962,Passed,134,"Drama, Horror, Thriller",75.0,4.05,8.0
445,Sanjuro,1962,Not Rated,96,"Action, Drama, Thriller",,,8.0
446,Ivan's Childhood,1962,Not Rated,95,"Drama, War",,,8.0
447,Through a Glass Darkly,1961,Not Rated,90,Drama,84.0,,8.0
448,The Hustler,1961,Not Rated,134,"Drama, Sport",90.0,8.28,8.0
449,La dolce vita,1960,Not Rated,174,"Comedy, Drama",95.0,19.52,8.0
450,Rio Bravo,1959,Passed,141,Western,93.0,12.54,8.0
451,Anatomy of a Murder,1959,Not Rated,161,"Drama, Mystery",95.0,11.90,8.0
452,Touch of Evil,1958,PG-13,95,"Crime, Drama, Film-Noir",99.0,2.24,8.0
453,Sweet Smell of Success,1957,Approved,96,"Drama, Film-Noir",100.0,,8.0
454,The Killing,1956,Approved,84,"Crime, Drama, Film-Noir",91.0,,8.0
455,The Night of the Hunter,1955,Not Rated,92,"Crime, Drama, Film-Noir",99.0,0.65,8.0
456,La strada,1954,Not Rated,108,Drama,,,8.0
457,Stalag 17,1953,Not Rated,120,"Comedy, Drama, War",84.0,,8.0
458,Roman Holiday,1953,Passed,118,"Comedy, Romance",78.0,,8.0
459,High Noon,1952,PG,85,"Drama, Thriller, Western",89.0,9.45,8.0
460,Kind Hearts and Coronets,1949,Not Rated,106,"Comedy, Crime",,,8.0
461,Out of the Past,1947,Not Rated,97,"Crime, Drama, Film-Noir",85.0,,8.0
462,"Rome, Open City",1945,Not Rated,103,"Drama, Thriller, War",,,8.0
463,Brief Encounter,1945,Not Rated,86,"Drama, Romance",92.0,,8.0
464,The Maltese Falcon,1941,Passed,100,"Crime, Film-Noir, Mystery",97.0,2.11,8.0
465,The Shop Around the Corner,1940,Not Rated,99,"Comedy, Drama, Romance",96.0,0.20,8.0
466,The Cabinet of Dr. Caligari,1920,Not Rated,67,"Horror, Mystery, Thriller",,,8.0
467,Knives Out,2019,PG-13,130,"Comedy, Crime, Drama",82.0,165.36,7.9
468,RRR,2022,Not Rated,187,"Action, Drama",83.0,,7.9
469,Shoplifters,2018,R,121,"Crime, Drama, Thriller",93.0,3.31,7.9
470,Badhaai Ho,2018,Not Rated,124,"Comedy, Drama",,,7.9
471,Marriage Story,2019,R,137,"Drama, Romance",94.0,2.00,7.9
472,Super 30,2019,Not Rated,154,"Biography, Drama",,2.27,7.9
473,Pad Man,2018,PG-13,140,"Biography, Comedy, Drama",,1.66,7.9
474,A Taxi Driver,2017,Not Rated,137,"Action, Drama, History",69.0,1.53,7.9
475,Togo,2019,PG,113,"Adventure, Biography, Drama",69.0,,7.9
476,Airlift,2016,Not Rated,130,"Action, Drama, History",,,7.9
477,M.S. Dhoni: The Untold Story,2016,Not Rated,184,"Biography, Drama, Sport",,1.78,7.9
478,Baby,I 2015,Not Rated,159,"Action, Crime, Thriller",,,7.9
479,Sing Street,2016,PG-13,106,"Comedy, Drama, Music",79.0,3.24,7.9
480,Thor: Ragnarok,2017,PG-13,130,"Action, Adventure, Comedy",74.0,315.06,7.9
481,Jojo Rabbit,2019,PG-13,108,"Comedy, Drama, War",58.0,33.37,7.9
482,Wonder,I 2017,PG,113,"Drama, Family",66.0,132.42,7.9
483,Arrival,II 2016,PG-13,116,"Drama, Mystery, Sci-Fi",81.0,100.55,7.9
484,Gully Boy,2019,Not Rated,154,"Drama, Music, Romance",65.0,5.57,7.9
485,Short Term 12,2013,R,96,Drama,82.0,1.01,7.9
486,The Raid 2,2014,R,150,"Action, Crime, Thriller",71.0,2.63,7.9
487,Before Midnight,2013,R,109,"Drama, Romance",94.0,8.11,7.9
488,X-Men: Days of Future Past,2014,PG-13,132,"Action, Adventure, Sci-Fi",75.0,233.92,7.9
489,Bohemian Rhapsody,2018,PG-13,134,"Biography, Drama, Music",49.0,216.43,7.9
490,The Way He Looks,2014,Not Rated,96,"Drama, Romance",71.0,0.10,7.9
491,The Perks of Being a Wallflower,2012,PG-13,103,Drama,67.0,17.74,7.9
492,The Artist,I 2011,PG-13,100,"Comedy, Drama, Romance",89.0,44.67,7.9
493,Edge of Tomorrow,2014,PG-13,113,"Action, Adventure, Sci-Fi",71.0,100.21,7.9
494,Avatar: The Way of Water,2022,PG-13,192,"Action, Adventure, Fantasy",67.0,,7.9
495,Amour,2012,PG-13,127,Drama,94.0,6.74,7.9
496,About Elly,2009,TV-PG,119,"Drama, Mystery",87.0,0.11,7.9
497,Dev.D,2009,Not Rated,144,"Comedy, Drama, Romance",,0.01,7.9
498,My Name Is Khan,2010,PG-13,165,"Adventure, Drama, Romance",50.0,4.02,7.9
499,The Banshees of Inisherin,2022,R,114,"Comedy, Drama",87.0,,7.9
500,Let the Right One In,2008,R,114,"Drama, Fantasy, Horror",82.0,2.12,7.9
501,District 9,2009,R,112,"Action, Sci-Fi, Thriller",81.0,115.65,7.9
502,The Wrestler,2008,R,109,"Drama, Sport",80.0,26.24,7.9
503,Jab We Met,2007,Not Rated,138,"Comedy, Drama, Romance",,0.41,7.9
504,Boyhood,I 2014,R,165,Drama,100.0,25.38,7.9
505,"4 Months, 3 Weeks and 2 Days",2007,Not Rated,113,Drama,97.0,1.19,7.9
506,Star Trek,2009,PG-13,127,"Action, Adventure, Sci-Fi",82.0,257.73,7.9
507,Dallas Buyers Club,2013,R,117,"Biography, Drama",77.0,27.30,7.9
508,In Bruges,2008,R,107,"Comedy, Crime, Drama",67.0,7.76,7.9
509,The Man from Earth,2007,Not Rated,87,"Drama, Fantasy, Mystery",,,7.9
510,Avatar,2009,PG-13,162,"Action, Adventure, Fantasy",83.0,760.51,7.9
511,Letters from Iwo Jima,2006,R,141,"Action, Adventure, Drama",89.0,13.76,7.9
512,Life of Pi,2012,PG,127,"Adventure, Drama, Fantasy",79.0,124.99,7.9
513,Fantastic Mr. Fox,2009,PG,87,"Animation, Adventure, Comedy",83.0,21.00,7.9
514,3-Iron,2004,R,88,"Crime, Drama, Romance",72.0,0.24,7.9
515,C.R.A.Z.Y.,2005,Not Rated,129,"Comedy, Drama",81.0,,7.9
516,The Return,2003,Not Rated,110,Drama,82.0,0.50,7.9
517,Iron Man,2008,PG-13,126,"Action, Adventure, Sci-Fi",79.0,318.41,7.9
518,Shaun of the Dead,2004,R,99,"Comedy, Horror",76.0,13.54,7.9
519,Kal Ho Naa Ho,2003,Not Rated,186,"Comedy, Drama, Musical",54.0,1.79,7.9
520,Head-On,2004,R,121,"Drama, Romance",78.0,,7.9
521,Mystic River,2003,R,138,"Crime, Drama, Mystery",84.0,90.14,7.9
522,Harry Potter and the Prisoner of Azkaban,2004,PG,142,"Adventure, Family, Fantasy",82.0,249.36,7.9
523,Hero,2002,PG-13,120,"Action, Adventure, Drama",85.0,53.71,7.9
524,Talk to Her,2002,R,112,"Drama, Mystery, Romance",86.0,9.28,7.9
525,No Man's Land,I 2001,R,98,"Comedy, Drama, War",84.0,1.06,7.9
526,The Bourne Identity,2002,PG-13,119,"Action, Mystery, Thriller",68.0,121.66,7.9
527,Nine Queens,2000,R,114,"Crime, Drama, Thriller",80.0,1.22,7.9
528,Children of Men,2006,R,109,"Action, Drama, Sci-Fi",84.0,35.55,7.9
529,"Crouching Tiger, Hidden Dragon",2000,PG-13,120,"Action, Adventure, Drama",94.0,128.08,7.9
530,Almost Famous,2000,R,122,"Adventure, Comedy, Drama",90.0,32.53,7.9
531,Dancer in the Dark,2000,R,140,"Crime, Drama, Musical",61.0,4.18,7.9
532,Mulholland Drive,2001,R,147,"Drama, Mystery, Thriller",85.0,7.22,7.9
533,Shrek,2001,PG,90,"Animation, Adventure, Comedy",84.0,267.67,7.9
534,Toy Story 2,1999,G,92,"Animation, Adventure, Comedy",88.0,245.85,7.9
535,Titanic,1997,PG-13,194,"Drama, Romance",75.0,659.33,7.9
536,Knockin' on Heaven's Door,1997,Not Rated,87,"Action, Crime, Comedy",,0.00,7.9
537,Boogie Nights,1997,R,155,Drama,85.0,26.40,7.9
538,Whisper of the Heart,1995,G,111,"Animation, Drama, Family",75.0,,7.9
539,Ghost in the Shell,1995,TV-MA,83,"Animation, Action, Crime",76.0,0.52,7.9
540,Once Were Warriors,1994,R,102,"Crime, Drama",77.0,2.20,7.9
541,True Romance,1993,R,119,"Crime, Drama, Romance",59.0,12.28,7.9
542,Three Colors: Blue,1993,R,94,"Drama, Music, Mystery",85.0,1.32,7.9
543,The Nightmare Before Christmas,1993,PG,76,"Animation, Family, Fantasy",82.0,75.08,7.9
544,Carlito's Way,1993,R,144,"Crime, Drama, Thriller",65.0,36.95,7.9
545,"Blood In, Blood Out",1993,R,180,"Crime, Drama",47.0,4.50,7.9
546,Edward Scissorhands,1990,PG-13,105,"Drama, Fantasy, Romance",74.0,56.36,7.9
547,My Left Foot,1989,R,103,"Biography, Drama",97.0,14.74,7.9
548,Do the Right Thing,1989,R,120,"Comedy, Drama",93.0,27.55,7.9
549,The Sacrifice,1986,PG,149,Drama,,0.30,7.9
550,Hannah and Her Sisters,1986,PG-13,107,"Comedy, Drama",90.0,40.08,7.9
551,Brazil,1985,R,132,"Drama, Sci-Fi",84.0,9.93,7.9
552,This Is Spinal Tap,1984,R,82,"Comedy, Music",92.0,4.74,7.9
553,A Christmas Story,1983,PG,93,"Comedy, Family",77.0,20.61,7.9
554,E.T. the Extra-Terrestrial,1982,PG,115,"Adventure, Family, Sci-Fi",91.0,435.11,7.9
555,Kagemusha,1980,PG,162,"Drama, History, War",84.0,,7.9
556,The Blues Brothers,1980,R,133,"Action, Adventure, Comedy",60.0,57.23,7.9
557,Manhattan,1979,R,96,"Comedy, Drama, Romance",83.0,45.70,7.9
558,All the President's Men,1976,PG,138,"Drama, History, Thriller",84.0,70.60,7.9
559,I Remember,1973,R,123,"Comedy, Drama",,0.58,7.9
560,Harold and Maude,1971,PG,91,"Comedy, Drama, Romance",62.0,,7.9
561,Patton,1970,GP,172,"Biography, Drama, War",91.0,61.70,7.9
562,The Conformist,1970,R,113,Drama,100.0,0.54,7.9
563,Le Cercle Rouge,1970,Not Rated,140,"Crime, Drama, Thriller",91.0,0.37,7.9
564,The Wild Bunch,1969,R,135,"Action, Adventure, Western",97.0,12.06,7.9
565,The Lion in Winter,1968,PG,134,"Biography, Drama, History",,22.28,7.9
566,In the Heat of the Night,1967,Approved,110,"Drama, Mystery, Thriller",75.0,24.38,7.9
567,In Cold Blood,1967,R,134,"Biography, Crime, Drama",89.0,,7.9
568,Doctor Zhivago,1965,PG-13,197,"Drama, Romance, War",69.0,111.72,7.9
569,A Fistful of Dollars,1964,R,99,"Action, Drama, Western",65.0,14.50,7.9
570,Charade,1963,Passed,113,"Comedy, Mystery, Romance",83.0,13.47,7.9
571,Vivre Sa Vie,1962,Not Rated,85,Drama,,,7.9
572,The Manchurian Candidate,1962,PG-13,126,"Drama, Thriller",94.0,,7.9
573,Spartacus,1960,PG-13,197,"Adventure, Biography, Drama",87.0,30.00,7.9
574,Hiroshima Mon Amour,1959,Not Rated,90,"Drama, Romance",,0.09,7.9
575,Cat on a Hot Tin Roof,1958,Not Rated,108,Drama,84.0,17.57,7.9
576,Elevator to the Gallows,1958,Not Rated,91,"Crime, Drama, Thriller",94.0,0.11,7.9
577,The Ten Commandments,1956,G,220,"Adventure, Drama, Family",,93.74,7.9
578,The Searchers,1956,Passed,119,"Adventure, Drama, Western",94.0,,7.9
579,The Big Heat,1953,Passed,89,"Crime, Film-Noir, Thriller",,,7.9
580,A Streetcar Named Desire,1951,PG,122,Drama,97.0,8.00,7.9
581,Strangers on a Train,1951,PG,101,"Crime, Drama, Film-Noir",88.0,7.63,7.9
582,In a Lonely Place,1950,Not Rated,94,"Drama, Film-Noir, Mystery",,,7.9
583,Harvey,1950,Approved,104,"Comedy, Drama, Fantasy",,,7.9
584,Rope,1948,Approved,80,"Crime, Drama, Mystery",73.0,,7.9
585,Miracle on 34th Street,1947,Not Rated,96,"Comedy, Drama, Family",88.0,2.65,7.9
586,Notorious,1946,Not Rated,102,"Drama, Film-Noir, Romance",100.0,10.46,7.9
587,The Big Sleep,1946,Passed,114,"Crime, Film-Noir, Mystery",86.0,6.54,7.9
588,Beauty and the Beast,1946,Not Rated,93,"Drama, Fantasy, Romance",92.0,0.30,7.9
589,Mildred Pierce,1945,Approved,111,"Crime, Drama, Film-Noir",88.0,,7.9
590,The Lost Weekend,1945,Passed,101,"Drama, Film-Noir",,9.46,7.9
591,Laura,1944,Passed,88,"Drama, Film-Noir, Mystery",,4.36,7.9
592,Arsenic and Old Lace,1944,Not Rated,118,"Comedy, Crime, Thriller",,,7.9
593,Sullivan's Travels,1941,Passed,90,"Adventure, Comedy, Drama",,,7.9
594,The Philadelphia Story,1940,Not Rated,112,"Comedy, Romance",96.0,,7.9
595,The Rules of the Game,1939,Not Rated,110,"Comedy, Drama",98.0,,7.9
596,The Adventures of Robin Hood,1938,PG,102,"Action, Adventure, Romance",97.0,3.98,7.9
597,The Thin Man,1934,TV-PG,91,"Comedy, Crime, Mystery",86.0,,7.9
598,King Kong,1933,Passed,100,"Adventure, Horror, Sci-Fi",90.0,10.00,7.9
599,Battleship Potemkin,1925,Not Rated,66,"Drama, History, Thriller",97.0,0.05,7.9
600,Nosferatu,1922,Not Rated,94,"Fantasy, Horror",,,7.9
601,The Gentlemen,2019,R,113,"Action, Comedy, Crime",51.0,36.47,7.8
602,Hindi Medium,2017,Not Rated,132,"Comedy, Drama",,,7.8
603,Call Me by Your Name,2017,R,132,"Drama, Romance",94.0,18.10,7.8
604,"I, Daniel Blake",2016,R,100,Drama,78.0,0.26,7.8
605,Isle of Dogs,2018,PG-13,101,"Animation, Adventure, Comedy",82.0,32.02,7.8
606,Dunkirk,2017,PG-13,106,"Action, Drama, History",94.0,188.37,7.8
607,Hidden Figures,2016,PG,127,"Biography, Drama, History",74.0,169.61,7.8
608,Hunt for the Wilderpeople,2016,PG-13,101,"Adventure, Comedy, Drama",81.0,5.20,7.8
609,Paddington 2,2017,PG,103,"Adventure, Comedy, Family",88.0,40.44,7.8
610,Manchester by the Sea,2016,R,137,Drama,96.0,47.70,7.8
611,Land of Mine,2015,R,100,"Drama, History, War",75.0,0.44,7.8
612,Rogue One: A Star Wars Story,2016,PG-13,133,"Action, Adventure, Sci-Fi",65.0,532.18,7.8
613,Captain Fantastic,2016,R,118,"Comedy, Drama",72.0,5.88,7.8
614,Captain America: Civil War,2016,PG-13,147,"Action, Adventure, Sci-Fi",75.0,408.08,7.8
615,The Hateful Eight,2015,R,168,"Crime, Drama, Mystery",68.0,54.12,7.8
616,Little Women,2019,PG,135,"Drama, Romance",91.0,108.10,7.8
617,Loving Vincent,2017,PG-13,94,"Animation, Biography, Crime",62.0,6.74,7.8
618,Pride,I 2014,R,119,"Biography, Comedy, Drama",79.0,,7.8
619,Nightcrawler,2014,R,117,"Crime, Drama, Thriller",76.0,32.38,7.8
620,Star Wars: Episode VII - The Force Awakens,2015,PG-13,138,"Action, Adventure, Sci-Fi",80.0,936.66,7.8
621,The Lunchbox,2013,PG,104,"Drama, Romance",76.0,4.23,7.8
622,"Like Father, Like Son",2013,Not Rated,121,Drama,73.0,0.28,7.8
623,Vicky Donor,2012,Not Rated,126,"Comedy, Romance",,0.17,7.8
624,Big Hero 6,2014,PG,102,"Animation, Action, Adventure",74.0,222.53,7.8
625,About Time,I 2013,R,123,"Comedy, Drama, Fantasy",55.0,15.32,7.8
626,English Vinglish,2012,Not Rated,134,"Comedy, Drama, Family",,1.67,7.8
627,The Best Offer,2013,R,131,"Crime, Drama, Mystery",49.0,0.09,7.8
628,The Batman,2022,PG-13,176,"Action, Crime, Drama",72.0,,7.8
629,Captain America: The Winter Soldier,2014,PG-13,136,"Action, Adventure, Sci-Fi",70.0,259.77,7.8
630,Once Upon a Time in Anatolia,2011,Not Rated,157,"Crime, Drama, Thriller",82.0,0.14,7.8
631,Moonrise Kingdom,2012,PG-13,94,"Comedy, Drama, Romance",84.0,45.51,7.8
632,How to Train Your Dragon 2,2014,PG,102,"Animation, Action, Adventure",77.0,177.00,7.8
633,The Big Short,2015,R,130,"Biography, Comedy, Drama",81.0,70.26,7.8
634,I Saw the Devil,2010,Not Rated,144,"Action, Crime, Drama",67.0,0.13,7.8
635,The Girl with the Dragon Tattoo,2011,R,158,"Crime, Drama, Mystery",71.0,102.52,7.8
636,Captain Phillips,2013,PG-13,134,"Action, Biography, Crime",82.0,107.10,7.8
637,Straight Outta Compton,2015,R,147,"Biography, Drama, History",72.0,161.20,7.8
638,The Irishman,2019,R,209,"Biography, Crime, Drama",94.0,7.00,7.8
639,The Social Network,2010,PG-13,120,"Biography, Drama",95.0,96.96,7.8
640,A Prophet,2009,R,155,"Crime, Drama",90.0,2.08,7.8
641,Thirteen Lives,2022,PG-13,147,"Action, Adventure, Biography",66.0,,7.8
642,Mother,2009,R,129,"Crime, Drama, Mystery",79.0,0.55,7.8
643,The Chaser,2008,Not Rated,125,"Action, Crime, Drama",64.0,,7.8
644,Moon,2009,R,97,"Drama, Mystery, Sci-Fi",67.0,5.01,7.8
645,The Hobbit: The Desolation of Smaug,2013,PG-13,161,"Adventure, Fantasy",66.0,258.37,7.8
646,The White Ribbon,2009,R,144,"Drama, Mystery, Thriller",82.0,2.22,7.8
647,The Girl with the Dragon Tattoo,2009,R,152,"Crime, Drama, Mystery",76.0,10.10,7.8
648,Skyfall,2012,PG-13,143,"Action, Adventure, Thriller",81.0,304.36,7.8
649,The Worst Person in the World,2021,R,128,"Comedy, Drama, Romance",90.0,,7.8
650,All Quiet on the Western Front,2022,R,148,"Action, Drama, War",76.0,,7.8
651,The Fighter,I 2010,R,116,"Action, Biography, Drama",79.0,93.62,7.8
652,Taken,I 2008,PG-13,90,"Action, Crime, Thriller",51.0,145.00,7.8
653,Once,I 2007,R,86,"Drama, Music, Romance",89.0,9.44,7.8
654,The Hobbit: An Unexpected Journey,2012,PG-13,169,"Adventure, Fantasy",58.0,303.00,7.8
655,Changeling,2008,R,141,"Biography, Crime, Drama",63.0,35.74,7.8
656,Atonement,2007,R,123,"Drama, Mystery, Romance",85.0,50.93,7.8
657,Drive,I 2011,R,100,"Action, Drama",78.0,35.06,7.8
658,American Gangster,2007,R,157,"Biography, Crime, Drama",76.0,130.16,7.8
659,Mr. Nobody,2009,R,141,"Drama, Fantasy, Romance",63.0,0.00,7.8
660,Apocalypto,2006,R,139,"Action, Adventure, Drama",68.0,50.87,7.8
661,The Fall,I 2006,R,117,"Adventure, Drama, Fantasy",64.0,2.28,7.8
662,Little Miss Sunshine,2006,R,101,"Comedy, Drama",80.0,59.89,7.8
663,Hot Fuzz,2007,R,121,"Action, Comedy, Mystery",81.0,23.64,7.8
664,The Curious Case of Benjamin Button,2008,PG-13,166,"Drama, Fantasy, Romance",70.0,127.51,7.8
